Education,Education FOS
(ISADAC) Institut Supérieur d'Art Dramatique et d'Animation Culturelle,Scénographie
-	UQTR Université Haut Rivières  Canada,gestion PME_PMI
-	Université sidi Mohammed ben Abdallah,Sciences Mathématiques et Application
-- Institut Supérieur de Journalisme et d'Information,Journalisme
1 er lycée militaire royal,sciences économiques et gestion
1er HASSAN,"système,réseau et sécurité informatique"
1er Lycée Militaire Royal à Kenitra,Sciences de la Vie et de la Terre
2 eme lycée militaire royal,science physique et chimie
2004-2005                    : Formation dans un,en marketing; en économie option management
"2013	 : Certifié SQL Server 2008 professionnel accordés par l’organisme, (Microsoft",Certified Marketing sur les réseaux sociaux  ( HP LIFE)
2l2m,logistique
2ème lycée militaire royale à Ifrane,sciences éxpérimentales
3emc management etude HQSE,management technique
4 Gestion Academy.,Comptabilité Générale
4 gestion academy,"gestion commerciale, import-export, Comptabilité et commerce / gestion, Travaux d'inventaire-liasse fiscale"
4GESTION ACADEMY,Gestion de la Paie
4Gestion Academy,Gestion Commerciale
A UNIVERSITE HASSANE 2,Comptabilité et commerce / gestion
A.D.I.I.,Réglementation douanière
ABI DAR EL GHIFARI,sciences mathématiques -A - Rabat
ABOU HAYAN TAWHIDI,Langue et littérature arabe
ACADEMY FOR ADS,Google Adwords
ACADEMY MOULAY ISMAIL,Sciences physiques
ACG sale,Comptabilité et commerce / gestion
ACTANDO,Pharmaceutical Industry - Industrie Pharmaceutique
ADALIA school of business,Marketing digital
ADHESIUM TECHNOLOGIES,"Ingénierie Mécanique : Design, Fabrication"
"ADMINISTRATEUR DU PERSONNEL ""Centre Universitaire de Formation Continue IBN TOFAIL",ADMINISTRATEUR DU PERSONNEL
"AEROEXPERTS COMPANY, DAC, Maroc","Human Factors for Aviation Maintenance Organization, Aéronotical Régulations"
AEROSUP,Ingénierie aérospatiale et aéronautique
AFRICAN CHANGE MAKERS FELLOWSHIP PROGRAM / COHORT 1,Entrepreneurship/leadership/innovation sociale
AFT-IFTIM Paris,"Logistics, Materials, and Supply Chain Management"
AGEF,"Gestion des ressources humaines  / administration du personnel, général"
AL KHAOUARIZMY,Génie Mécanique
AL akhawyan university,web design
ALC,TEFL Via Lingua
